feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2015.07.10	-9.56253598308685	-1.18616010417711	-11.2629757012279	NA	-1.54444282515872	-6.30877939084107	-3.03535975781372	NA	NA	-3.61911951145322
LLM.2015.07.11	-8.17433826594497	-1.44242031633071	-12.2618011071953	-9.93987301230795	-1.11332452501703	-7.07197654831529	-4.21740698783686	NA	NA	-3.26603395631751
LLM.2015.07.12	-9.93766806760106	-1.13903426604552	-12.2595961624884	NA	-1.36061695786591	-7.53167570792522	-3.200251701664	NA	NA	-4.60496013396045
LLM.2015.07.15	-9.57204427379378	-1.4519061092791	-12.2724839919349	NA	-1.26195588604839	-13.2724839919349	-2.36184126146525	-13.2724839919349	-9.68752149121372	-5.64312737185526
LLM.2015.07.19	-8.61691636257881	-2.14248031932654	-8.13148953540857	-8.93884445746617	-0.597881693214472	-9.01284503890995	-3.43104981726747	-12.2607725523535	-8.67581005163238	-7.09084755091122
LLM.2015.07.26	-8.40646160509903	-2.1102573909613	-9.56400288208551	-8.94251450533924	-0.745052058878642	-9.09451759878429	-3.20645087746743	-11.2644426002266	-7.70985374854896	-4.31899876384869
LLM.2015.08.23	-9.36937923530375	-1.78592032517298	-8.23187571155382	NA	-0.881271316410599	NA	-2.98855745136282	-10.9543417360249	-7.72168097923463	-5.00948329021737
LLM.2015.09.06	-9.9407540474748	-1.12793497369315	-9.56224242422107	NA	-1.35842385956165	-6.22925914082471	-3.31723830598425	-10.4553272203046	-9.56224242422107	-4.86180270607998
LLM.2015.09.16	NA	-0.832265488479252	-8.82249840831815	NA	-1.85776373813734	NA	-2.69509023899362	NA	-11.6969675262343	-7.50057031343078
LLM.2015.10.11	-11.6976915890053	-1.32809424272659	-6.71279848139547	NA	-0.919340625352943	NA	-5.06348556926426	NA	-7.75909213366941	-5.12783598067432
LLM.2015.11.08	-10.4694964648601	-1.11194446024199	-6.97307063874058	NA	-1.23245726755923	-12.2768513869177	-3.37146438189955	NA	-7.78499829058801	-9.18938854566734
LLM.2015.11.22	-9.67962670740567	-2.06246538429636	-10.4572342860692	NA	-0.703539981427152	-12.2645892081268	-3.100939532111	NA	-6.03577051763094	-6.31039289773995
LLM.2015.12.27	-9.18297849959771	-2.23770681226133	-8.94851324596068	NA	-0.487238450783657	-9.02251382740446	-4.84417658614595	-10.1005163394057	-8.41246034572047	-5.04643966664994
LLM.2016.01.10	-10.9483672315847	-0.934067736988651	-10.9483672315847	NA	-1.68533282575088	-5.85244281158614	-3.68533282575088	-10.4629404044144	-7.3876522771102	-3.98952455634144
LLM.2016.01.24	-8.68708402366878	-1.96997885186342	-12.2720465243899	-12.2720465243899	-0.692966340555181	-5.13249517199114	-4.62819033461521	-8.74848456833293	-7.74848456833292	-4.39860241187456
LLM.2016.02.07	-8.46250227259726	-2.24056996768662	-9.9479290997675	NA	-0.69242836661912	-8.36296659904635	-2.96038084081376	-11.6848946939337	-7.59743185268337	-5.12011007515019
LLM.2016.02.28	-8.05879620636554	-2.5058675332841	-11.2682495719945	NA	-0.420996433673652	-7.68328707127334	-5.25144128430794	-9.94632147710713	-7.22385545263604	-4.87593214921573
LLM.2016.03.13	-8.88249749167208	-2.82360380261851	-8.95288681956347	NA	-0.493865115701171	-9.36792431884232	-3.62735648799592	-12.2748149144508	-6.41683391932326	-4.31771287288855
LLM.2016.03.27	-9.68606274989541	-2.52199386857637	-10.463670328559	NA	-0.608134391477508	-11.2710252506166	-3.2823405638444	-11.6860627498954	-5.83639702297985	-4.413044255489
LLM.2016.04.24	-10.4747199465265	-2.12283421817241	-10.1121498671418	NA	-0.544405005406634	-10.9601467736967	-3.96240274763709	-11.6971123678629	-8.15279185163912	-6.09225030970407
