feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Burkholderiaceae	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2014.09.28	NA	-8.10285056184378	-2.76498092308739	-12.2727755632861	-9.18531272203575	-6.12302844378141	-9.36588496767757	-4.52458271369663	-8.62891937351136	-6.73361675217806	-8.46542064122848	NA	-3.25457538447286	-13.2727755632861	NA	-5.95084746839872	-9.95084746839872	-6.96899481510898	-5.88045814050733	-13.2727755632861	-7.25040775025763	-3.915223558668	NA	NA	-6.31857925289921	-4.69534673525034	NA	-7.88045814050733	-13.2727755632861	NA	-10.1028505618438	-9.18531272203575	-9.95084746839872	-7.39013251392425	-2.62982133980575	-7.0248480498425	-4.31857925289921	-3.53976024160012	-5.27842212642723	-5.06332219765714	-4.26715101409221	-5.94185868517147	-10.1028505618438	-8.68781306256493	-10.6878130625649	NA	-4.25596727559953	-8.51788806112262
LLM.2014.11.16	-11.2781590314372	-8.63430284166251	-3.18408134576533	-11.2781590314372	-8.52327152927377	-6.15921795871373	-10.4708041093796	-4.24473602989979	-8.27815903143724	-5.70830342310629	-7.52327152927377	NA	-3.18804661177295	-8.69319653071608	-9.47080410937963	-5.59867893193179	-9.95623093654988	-6.88584160865848	-5.53669204503609	-9.95623093654988	-7.16963457465907	-2.97437828326014	-13.2781590314372	NA	-7.12841191193256	-5.25579121840878	NA	-7.66344918732203	NA	NA	-10.2781590314372	-10.9562309365499	-10.6931965307161	-8.95623093654988	-2.68944439585497	-7.06870566580829	-4.7624591931532	-3.16832837715844	-6.99275681257499	-5.61994754868544	-4.18012694847671	-6.75459707538023	-9.03023151799365	-9.81872741279994	-11.6931965307161	NA	-4.82694791960491	-7.85189427673514
LLM.2014.12.07	NA	-5.88323214493593	-2.74060218814904	-13.2582715762829	-8.01034406283927	-5.20842302683229	-9.35138098067433	-6.2138774569244	-6.99148503558795	-7.30407526589598	-6.95449082810575	NA	-2.66768452636782	-12.2582715762829	NA	-5.08834657484054	-8.93634348139549	-6.86595415350409	-4.81947972370459	-13.2582715762829	-6.75047693608415	-5.6808427482471	-8.40029058115528	NA	-7.76641847995318	-4.82364334864613	NA	-6.71911276517482	-11.2582715762829	NA	-8.35138098067433	-9.55783185814176	-8.6733090755617	-7.08834657484054	-8.30407526589598	-5.23036557971297	-3.7764721446171	-3.8810610458943	-4.28385698647732	-4.72299619966205	-3.17745404867452	-5.79883995764555	-8.86595415350409	-7.28099165278293	-11.6733090755617	-11.6733090755617	-4.96365082739122	-7.2138774569244
LLM.2014.12.17	-11.6834332928354	-7.00160925286166	-2.24880506519868	-11.2683957935566	-7.43550577939182	-6.39803107397315	-9.36150519794804	-5.05894242792761	-8.09847079211425	-6.07857123467654	-7.98299357469431	NA	-4.00160925286166	-9.56795607541547	NA	-6.34953255628196	NA	-6.84213103885446	-4.83794324189103	-12.2683957935566	-8.41041479842899	-3.39495168104118	-6.55415027589044	-13.2683957935566	NA	-5.13911277661159	NA	-5.92854579067193	-12.2683957935566	NA	-9.02046828011297	-10.6834332928354	-9.80896417491926	-7.36150519794804	-8.9464676986692	-8.36150519794804	-4.41041479842899	-3.48049323416513	-3.30694609915836	-5.04439411935845	-4.59597045158506	-5.18093295230622	-8.62453960378183	-8.51350829139309	-10.6834332928354	NA	-3.71764900817332	-8.74483383749955
LLM.2015.01.06	-9.67830669965151	-3.19583483961614	-2.21750953898998	-10.2632692003727	-8.09334419893035	-6.21887508101421	-8.67830669965151	-6.59084385840117	-7.45591427831506	-6.50838169820919	-6.22984619883521	NA	-4.49839760963657	-8.73970724431565	NA	-7.9413411054853	-9.9413411054853	-8.56282948223157	-4.6302740032297	-10.2632692003727	-6.75547456017397	-4.83700444567056	-10.6783066996515	-13.2632692003727	-9.35637860476414	-5.66335635818553	NA	-8.21887508101421	-12.2632692003727	NA	-7.70868034869502	-9.67830669965151	-9.56282948223157	-10.6783066996515	-3.75151654660528	-7.21887508101421	-5.2134206509221	-3.97094756757062	-4.5319501693476	-3.79770279556326	-3.34142826329817	-5.77141610404299	-9.56282948223157	-6.20798676487147	-12.2632692003727	-13.2632692003727	-5.67081216310458	-8.8709517775939
LLM.2015.01.14	NA	-3.20603156020181	-2.91183525439878	-9.44988557905897	-8.16977765986624	-7.37459745175473	-9.44988557905897	-5.05756815628021	-7.12795748417161	-5.06741594223656	-8.55680078297548	NA	-4.24043221343002	-10.9353124062292	NA	-6.27996057761666	-8.93531240622921	-7.58481515914508	-4.87353620864252	-13.2572405011166	-9.08731549967426	-5.71034604122894	-6.99045396042168	NA	-10.0873154996743	-4.51577351471543	NA	-7.12795748417161	-9.93531240622921	NA	-5.74944586091788	-10.2572405011166	-9.44988557905897	-7.97183828225433	-4.24322003080164	-7.58481515914508	-4.65732765892945	-3.76940046729352	-5.99045396042168	-3.56724252969713	-2.98228002897597	-5.68738489278563	-8.04778713548763	-6.42435048695183	-13.2572405011166	-13.2572405011166	-5.21832151182427	-8.35034990550806
LLM.2015.01.25	NA	-2.03524518461861	-3.24712648142393	-11.2736499239437	-8.10372492250138	-6.81421830530639	-13.2736499239437	-4.31945361355682	-7.6012245819722	-5.6012245819722	-8.27364992394369	NA	-4.32820608756578	-10.2736499239437	NA	-5.83902169630697	-8.36675932833517	-7.12390280443901	-5.40946377928941	-12.2736499239437	-7.84738516924159	-6.53218293754254	-11.6886874232225	NA	-10.4662950018861	-5.82243881211136	NA	-8.06419655831474	-9.46629500188609	NA	-6.93379992105907	-8.88133250116493	-8.95172182905633	-8.31945361355682	-10.1037249225014	-7.10372492250138	-4.52545707435423	-4.30786563928161	-5.90732770969788	-3.71331708973125	-2.58016296644437	-7.25128211091524	-7.88133250116493	-6.18618708269335	NA	-13.2736499239437	-6.73449111283566	-7.39100687458185
LLM.2015.02.08	-13.2691266791494	-4.16321817057826	-3.08921758913448	-10.6841641784283	-7.33838934158653	-6.85973574301172	-11.2691266791494	-5.19231108209859	-7.09920167770711	-5.33248874014685	-7.56868696100833	NA	-3.46177175709181	-11.2691266791494	NA	-6.2918467556495	-8.94719858426206	-6.89408724780249	-5.09420099664874	-13.2691266791494	-8.3622360835409	-5.47471081279931	-7.65441683503421	-13.2691266791494	NA	-5.28613310445511	NA	-7.71453782747178	-10.0992016777071	NA	-6.2918467556495	-9.80969506051212	-9.68416417842826	-8.3622360835409	-9.46177175709181	-7.80969506051212	-4.18431829134506	-3.01527919416201	-4.72223221926178	-4.05238082095411	-2.71453782747178	-4.81379945884486	-9.3622360835409	-6.94719858426206	-9.68416417842826	NA	-4.73385130252861	-8.26912667914942
LLM.2015.02.23	-13.2697111211428	-7.38706807178094	-3.33454607153909	-11.2697111211428	-8.46235619908518	-5.344898617537	-9.68474862042163	-4.18490273333842	-7.38706807178094	-7.98430890228053	-8.06025775551383	NA	-2.99591552192852	NA	NA	-5.5081598886983	-8.94778302625542	-7.36282052553426	-5.25848386571953	-13.2697111211428	-7.31551481075591	-5.10983978436439	-6.62585493136806	NA	NA	-4.29816756719201	NA	-6.89467168979586	-12.2697111211428	NA	-7.3389737835799	-10.4623561990852	-8.68474862042163	-8.74614916508577	-9.36282052553426	-5.94778302625542	-3.94778302625542	-2.84764635496997	-3.62585493136806	-4.98894035101218	-3.42422107019841	-5.3213438895581	-9.18224827989244	-7.71512226946514	-13.2697111211428	-13.2697111211428	-4.87739369836402	-7.3389737835799
LLM.2015.03.08	NA	-4.63634788698807	-2.41552960114973	-8.86241596646791	-7.64002354513147	-7.52681293468348	-9.00680587580309	-6.08480838780436	-7.61087719947195	-6.86241596646791	-9.55429367110558	NA	-2.64740307549706	-13.2547333892467	NA	-7.1886441987889	-7.82846863454458	-8.93280529435931	-5.56124643174735	-11.6697708885255	-7.25473338924667	-6.03556486878451	-8.49984588708321	NA	-7.3005370788598	-4.13061207741749	NA	-6.98794684855177	-9.08480838780436	NA	-7.58230804727518	-9.25473338924667	-8.79530177060938	-13.2547333892467	-11.6697708885255	-5.0163286499216	-4.07233903584214	-4.48986179851058	-3.33736130976983	-4.22406625299973	-3.35235827476065	-6.38436866966327	-10.6697708885255	-6.61087719947195	-11.2547333892467	NA	-5.94185043396232	-9.25473338924667
LLM.2015.03.24	-10.4447191207386	-2.83422152791029	-3.07465450480695	-12.2520740427962	-7.57964870082469	-6.0232553523003	-10.4447191207386	-4.431895080381	-7.3213367052333	-8.55163432465509	-5.41287025469924	NA	-3.79469316372365	-8.25207404279618	NA	-5.851194606514	-8.08214904135387	-8.0041465293526	-5.3272615391904	-8.04262067716723	-6.65216120060906	-4.5447149107153	-9.34518344718767	-11.667111542075	-8.93014594790882	-4.79674682249162	NA	-7.93014594790882	-8.39409304766861	-12.2520740427962	-6.20767992343773	-8.44471912073858	-9.08214904135387	-9.44471912073858	-6.30955953745694	-6.2862897581341	-3.95745329390456	-4.16992500144231	-6.77634061182979	-4.0997892004896	-2.75222815571298	-7.69748519111855	-8.44471912073858	-6.79264242415889	NA	-10.4447191207386	-7.39409304766861	-7.16461120154584
