feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2016.12.01	NA	0.00540650821177191	0.0782413546873406	0.00061205753340814	0.00938488217892482	0.0311129246149138	0.00153014383352035	0.016015505457513	0.00785473834540447	0.00622258492298276	0.0030602876670407	NA	0.0787514026318474	NA	NA	0.0457002958278078	NA	0.00224421095582985	0.0489646026726512	0.00132612465571764	0.00887483423441804	0.000408038355605427	0.0998673875344282	0.00418239314495563	0.0301948383148016	0.052330919106396	NA	0.0133632561460777	0.000204019177802713	0.00744669998979904	0.00102009588901357	0.00204019177802713	0.0113230643680506	0.011425073956952	0.0215240232581863	0.0728348464755687	0.139141079261451	0.00295827807813935	0.0294807711924921	0.0970111190451903	0.000816076711210854	0.0146893808017954	0.00275425890033663	NA	0.00030602876670407	0.0236662246251148	0.00948689176782618
LLM.2016.12.03	NA	0.000200260338439972	0.344848302793632	NA	NA	0.000200260338439972	NA	0.000200260338439972	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007109242014619	NA	NA	NA	NA	0.085411034344648	NA	NA	NA	NA	NA	NA	NA	0.000200260338439972	0.000200260338439972	NA	0.00791028336837889	NA	0.00250325423049965	0.00350455592269951	0.518874536897967	NA	0.0101131470912186	NA	NA	NA	NA	0.0185240813056974	0.000200260338439972	NA
LLM.2016.12.04	NA	0.000300782033286545	0.108582314016443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000300782033286545	NA	NA	NA	0.00611590134349308	NA	NA	0.000401042711048727	NA	0.00521355524363345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.540605574493684	0.00421094846601163	0.0213555243633447	0.00571485863244436	0.229596952075396	NA	0.0688790856226188	NA	0.000401042711048727	NA	0.00060156406657309	0.00461199117706036	NA	0.00310808101062763
LLM.2016.12.11	NA	0.00050627784528149	0.303969218307007	0.000202511138112596	0.00283515593357635	0.126974483596598	0.000405022276225192	0.00182260024301337	0.00141757796678817	NA	0.0051640340218712	NA	0.00961927906034832	0.000202511138112596	NA	0.00648035641960308	NA	0.0217699473471041	0.048906439854192	NA	0.0256176589712434	NA	0.00425273390036452	NA	0.000303766707168894	0.00972053462940462	NA	0.00344268934791414	0.000202511138112596	0.000708788983394087	0.00121506682867558	NA	0.000202511138112596	0.00313892264074524	0.0126569461320373	0.0238963142972864	0.090016200891049	NA	0.0437424058323208	0.213041717294451	NA	NA	0.0229850141757797	NA	0.00172134467395707	NA	0.0128594572701499
LLM.2016.12.17	NA	0.00430548436699129	0.120451050743209	NA	0.00123013839056894	0.0627370579190159	0.00133264992311635	0.0333162480779088	0.00297283444387494	0.000512557662737058	0.00932854946181445	NA	0.0544336237826755	0.000512557662737058	NA	0.0239876986160943	NA	0.00451050743208611	0.0120963608405946	NA	0.00625320348539211	0.00348539210661199	0.00686827268067658	0.000410046130189646	0.00830343413634034	0.0665299846232701	NA	0.00102511532547412	0.000512557662737058	0.00276781137878011	0.00194771911840082	NA	0.00123013839056894	0.00410046130189646	0.0224500256278831	0.033623782675551	0.166478728856996	0.000512557662737058	0.023167606355715	0.270425422860072	0.00307534597642235	0.0111737570476679	0.00984110712455151	NA	0.000820092260379293	NA	0.0232701178882624
LLM.2016.12.25	NA	0.0164840790416709	0.0618408928022934	NA	0.00368588102795126	0.0104433295791953	NA	0.0620456639705129	0.00808846114467083	0.0118767277567319	0.0014333981775366	NA	0.028258421214293	NA	NA	0.00614313504658544	NA	0.00634790621480496	0.027439336541415	NA	0.00716699088768301	0.00194532609808539	0.020681887990171	NA	0.00174055492986587	0.0201699600696222	NA	0.00307156752329272	0.0062455206306952	0.0946042797174158	0.00174055492986587	0.000204771168219515	0.0218081294153783	0.00122862700931709	0.00501689362137811	0.0359373400225248	0.0720794512132692	0.00430019453260981	0.183372581140575	0.237534555134637	0.00317395310740248	0.000204771168219515	0.0288727347189516	NA	NA	NA	0.00481212245315859
LLM.2017.01.01	NA	0.00638686131386861	0.216240875912409	0.00223033252230333	0.00141930251419303	0.0199716139497161	0.00456204379562044	0.0743106244931062	0.00638686131386861	0.0145985401459854	0.00111516626115166	NA	0.0289943227899432	NA	NA	0.0139902676399027	NA	0.00760340632603406	0.0312246553122466	NA	0.0056772100567721	0.000912408759124088	0.00963098134630981	0.000202757502027575	0.0040551500405515	0.0174371451743715	NA	0.00182481751824818	0.00172343876723439	0.0413625304136253	0.00152068126520681	0.000608272506082725	0.0134833738848337	0.0032441200324412	0.00699513381995134	0.0304136253041363	0.0820154095701541	0.00141930251419303	0.0997566909975669	0.212287104622871	0.00709651257096512	0.00253446877534469	0.0193633414436334	0.000202757502027575	NA	NA	0.00719789132197891
LLM.2017.01.08	NA	0.00449667858967808	0.136331119059785	NA	0.000715380684721513	0.031374552887072	0.00429228410832907	0.0649974450689831	0.00224833929483904	0.028513030148186	0.00408788962698007	NA	0.029330608073582	NA	NA	0.0115482881962187	0.000204394481349004	0.00766479305058763	0.0135922330097087	NA	0.00408788962698007	0.00132856412876852	0.00316811446090956	NA	0.0101175268267757	0.0415942769545222	NA	0.000408788962698007	NA	0.0387327542156362	0.00153295861011753	0.000510986203372509	0.00429228410832907	0.00235053653551354	0.0164537557485948	0.0631578947368421	0.102810424118549	0.00306591722023505	0.0747061829330608	0.259683188553909	0.00633622892181911	0.00367910066428206	0.00981093510475217	0.00102197240674502	NA	NA	0.0117526826775677
LLM.2017.01.15	NA	0.0024704065877509	0.0822439526505404	0.000617601646937725	0.00442614513638703	0.0153371075656202	0.0013381369016984	0.128769943386516	0.015748841996912	0.0226453937210499	0.00144107050952136	NA	0.0261451363870304	NA	NA	0.00195573854863613	0.000411734431291817	0.0074112197632527	0.0214101904271745	NA	0.00823468862583634	0.00329387545033453	0.00874935666495111	0.000205867215645908	0.00267627380339681	0.0307771487390633	NA	0.00154400411734431	0.0085434894493052	0.121873391662378	0.00277920741121976	0.00205867215645908	0.00349974266598044	0.0024704065877509	0.00597014925373134	0.0361296963458569	0.0717447246525991	0.000926402470406588	0.062995367987648	0.275244467318579	0.00329387545033453	0.000411734431291817	0.00638188368502316	NA	NA	NA	0.00782295419454452
LLM.2017.01.22	NA	0.00387755102040816	0.111326530612245	0.00153061224489796	0.00224489795918367	0.0272448979591837	0.00316326530612245	0.0621428571428571	0.00989795918367347	0.0211224489795918	0.0023469387755102	NA	0.03	NA	NA	0.00377551020408163	NA	0.0109183673469388	0.0147959183673469	NA	0.0112244897959184	0.00571428571428572	0.0153061224489796	NA	0.00755102040816327	0.0319387755102041	NA	0.00438775510204082	0.00275510204081633	0.0940816326530612	0.00153061224489796	0.000918367346938775	0.00275510204081633	0.00142857142857143	0.0151020408163265	0.031530612244898	0.125102040816327	0.00387755102040816	0.102959183673469	0.193367346938776	0.0269387755102041	0.00193877551020408	0.0102040816326531	0.000408163265306122	NA	NA	0.00459183673469388
