feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2017.01.31	NA	-6.60182593835481	-3.58584515296092	-11.6750749203854	-8.452682499049	-5.37739437174476	-8.40205642597903	-4.46887453255158	-6.32930008354371	-5.58055732160116	-8.73647546504959	NA	-5.41454737016223	NA	NA	-5.40828837969054	NA	-7.58761207913511	-5.77622164384234	NA	-6.9562566729295	-7.28275749760668	-5.72865596059029	NA	-6.50514991894313	-4.37434104776721	NA	-8.55959770296551	-8.73647546504959	-6.02163268178152	-8.8006058024693	-8.8006058024693	-8.8006058024693	-9.01210990766302	-6.64532757699139	-5.43985845869141	-3.58231777946559	-9.8006058024693	-2.81605787850535	-1.6591953067193	-7.2600374211066	-8.86771999832784	-6.35314682549808	NA	NA	NA	-7.32930008354371
LLM.2017.02.11	NA	-6.05352233559899	-2.66213358684064	-10.9410476063406	-7.03415701073206	-5.70838684955031	-8.09305069978563	-5.37423245232968	-7.1755128599776	-5.20769326572675	-6.78724227026155	NA	-5.37423245232968	NA	NA	-4.60833967269998	NA	-6.35608510561942	-5.02457096190286	NA	-10.9410476063406	-7.24060788819949	-6.70838684955031	-4.63726685816348	-9.01504818778436	-5.56253598308685	NA	-8.26297570122794	-8.67801320050679	-4.27429101445578	-8.40499470610037	-10.6780132005068	-8.73941374517093	-8.30877939084107	-7.01504818778436	-4.81176458939561	-3.69501962581248	-7.33223836366506	-2.9387951546092	-2.423771913131	-6.67801320050679	-8.26297570122794	-6.78724227026155	NA	-11.6780132005068	NA	-6.87065827844918
LLM.2017.02.26	NA	-7.04948556164115	-5.15936317941352	NA	-10.6933417514159	-4.61296833495186	-7.95637615724967	-3.71606182791596	-9.10837925069472	-6.33578974679779	-7.23391013277858	NA	-5.22845570268647	NA	NA	-6.28961956536487	NA	-9.03037673869345	-8.19084141088669	NA	-11.6933417514159	-11.278304252137	-10.6933417514159	-12.278304252137	-8.57786453399594	-4.93400834422122	-12.278304252137	-10.6933417514159	-10.9563761572497	-7.60587891016554	-9.47094933007943	-10.4709493300794	-11.278304252137	-1.12665342216361	-6.05913573167487	-4.53683726573589	-3.77447851414128	-12.278304252137	-5.76260441385299	-3.18422656646513	-9.10837925069472	-7.55038379757383	-9.69334175141588	NA	NA	NA	-7.55038379757383
LLM.2017.03.13	NA	-5.44367705718089	-3.79218080520404	NA	-8.94192792470872	-5.40587502446851	-7.83759126489398	-2.80955672597618	-7.64914617548087	-5.1191977767642	-7.09393101815377	-5.32721808059351	-5.0789806766878	NA	NA	-3.72469720848805	NA	-7.09393101815377	-6.88881658824916	NA	-9.17639317834574	-9.94192792470872	-8.35696542398756	NA	-5.98773161432184	-5.13457300265112	NA	-9.45650109753848	-10.0939310181538	-5.82922779195936	-8.80442440095879	-9.26385601959608	-8.61999982982136	-4.20586429683691	-6.60564453684429	-4.61999982982136	-3.47758639194762	-8.94192792470872	-4.62361108337374	-2.27091768343027	-8.35696542398756	-7.38121297023424	-6.92400601671146	NA	NA	NA	-7.17639317834574
LLM.2017.04.16	NA	-4.58001727646284	-2.09670775581456	NA	-9.81407261532486	-6.20741504350439	-9.36661363835364	-3.96516520382275	-9.36661363835364	-6.61529275121037	-8.81407261532486	NA	-5.32513700237748	NA	NA	-3.79574596751827	NA	-5.92477607973108	-5.89846480261524	NA	-10.1035792325198	-4.14164727335337	-5.48560167457073	NA	-5.43430044586522	-5.03509949463708	NA	-7.84723947926006	NA	-7.688541733241	-9.57306451582107	-10.9515761390748	-8.8811868111834	-9.57306451582107	-8.18604139271182	-5.0543357135	-3.2236556845116	-10.4661493119046	-3.6477953908977	-3.27491380421683	-6.02557672051858	-9.46614931190456	-6.83056073811343	-11.2735042339622	NA	NA	-9.10357923251985
LLM.2017.04.30	NA	-4.22667168710024	-2.85383542136638	NA	-10.103870597772	-5.18103845829441	-8.75023364315725	-3.87719081803241	-9.10387059777195	-7.04497690871838	-8.57335588107317	NA	-4.12404847970958	NA	NA	-3.6683160811526	NA	-7.27379559921426	-5.81436398057697	NA	-11.6888330984931	-4.24037259767681	-5.75023364315725	NA	-5.76600095901557	-4.9563829854494	NA	-6.65908575509906	-13.2737955992143	-8.62993940943954	-8.75023364315725	-10.4664406771567	-6.09388650919933	-10.6888330984931	-7.78194250288459	-3.89658506882571	-3.07657890610421	-6.91624359459618	-4.04017592245456	-3.56816321185285	-5.29080202451995	-7.98839338035202	-6.89875616786734	-10.4664406771567	NA	NA	-9.10387059777195
LLM.2017.05.14	NA	-4.19508507534071	-2.83206978841015	NA	-9.02397315894796	-5.29462074889163	-8.31770436200467	-3.5422799288385	-7.94997257750418	-5.67198783020442	-8.02397315894796	NA	-3.81042122510539	NA	NA	-4.09199158237661	NA	-6.28321598561938	-6.31770436200467	NA	-8.62804448261682	-9.68693817167039	-8.81246905375425	NA	-7.54398021782834	-5.70965824817047	NA	-7.31770436200467	-9.36501007678302	-7.51701317022807	-10.9499725775042	-11.2719006723915	-7.68693817167039	-5.62084898121261	-7.04308198189566	-4.57493314615726	-3.40616740153978	-7.74833871633453	-3.39691932473777	-2.58978390744147	-6.42641062144717	-8.31770436200467	-6.96811992421444	-12.2719006723915	NA	NA	-8.14261765544658
LLM.2017.05.28	NA	-3.89920471150413	-2.66631317889301	NA	-8.3222189315058	-5.16267307584349	-7.85015048719058	-4.4029711293773	-8.63255905211795	-5.05241356769457	-7.34567790432979	NA	-3.44827875769857	NA	NA	-4.12159713284057	NA	-6.60398989992118	-5.72952078200504	NA	-8.95448714700532	-5.84178701425595	-6.86702430575498	NA	-7.69145274117152	-5.39989829532768	NA	-8.02848772844909	-12.2764152418927	-8.52152773972921	-9.81698362325538	-11.2764152418927	-9.02848772844909	-10.6914527411715	-7.36952464628416	-4.65070639882821	-3.15358724708501	-8.52152773972921	-3.73338342163744	-2.91996327167092	-5.12159713284057	-13.2764152418927	-7.126668122388	-11.6914527411715	-13.2764152418927	NA	-8.02848772844909
LLM.2017.06.25	NA	-2.38351815614171	-3.30173003440895	-13.2775780024157	-8.06812463678679	-6.75401604635872	-9.10765300097342	-3.70393081492241	-9.27757800241574	-6.3350634970765	-7.21148881195796	NA	-4.59107747523252	NA	NA	-3.24829077544749	NA	-6.78572490608606	-6.0976689124008	NA	-8.41959700728816	-6.90253857106881	-7.32338169202886	-13.2775780024157	-6.64822138233613	-5.73841919130771	NA	-7.60515266044424	-9.1901151611654	-8.52269050025227	-9.95564990752837	-10.2775780024157	-7.99217578355349	-6.3949349530539	-7.1901151611654	-4.23865901312343	-3.77773211533253	-8.63372181264101	-3.92002599779765	-3.06447378277383	-6.02965048897215	-9.1901151611654	-6.80184457144934	-13.2775780024157	-13.2775780024157	NA	-8.10765300097342
LLM.2017.07.17	NA	-6.45638167580323	-2.12364206208179	NA	-10.6915981374973	-6.02863312477483	-7.88424321543965	-6.32236432783154	-10.2765606382184	-4.76086079993437	-8.52167313605494	-10.6915981374973	-4.70291345072509	NA	NA	-3.41702585183576	NA	-6.00977409752351	-5.53509365181727	NA	-8.81712901958112	-5.81712901958112	-8.27656063821841	NA	-7.39391758885657	-4.85029588351632	NA	-8.1066356367761	-12.2765606382184	-8.52167313605494	-10.6915981374973	-10.6915981374973	-7.91900863360033	-4.40311652570304	-7.39391758885657	-4.65085179515395	-2.96708428437731	-8.81712901958112	-4.12681351871373	-2.97163896863674	-5.53509365181727	-9.18909779696807	-7.85029588351632	-9.81712901958112	-10.4692057161608	NA	-8.18909779696807
