# QIIME2 metadata file for BIRDMAn analysis
#
sample-id	scfa_level	scfa_level_normalized
LLM.2012.11.06	96.44685937164091	-0.5338068460889166
LLM.2014.05.04	99.56214870443479	0.6371554463462159
LLM.2014.08.25	99.31245627735613	0.5433020717212975
LLM.2015.01.25	94.64809432383258	-1.2099193412467444
LLM.2015.02.08	96.26173858347131	-0.6033892955296775
LLM.2015.02.23	96.19148319373275	-0.6297966058742394
LLM.2015.03.08	96.06749639304918	-0.6764002605755263
LLM.2015.03.24	95.36367131593693	-0.9409511698901286
LLM.2015.04.04	111.10073059049249	4.974230707548795
LLM.2015.04.19	94.52489257894214	-1.256227912367339
LLM.2015.05.03	97.40096202778005	-0.17518261761342344
LLM.2015.05.31	98.28816614968984	0.15829606172249783
LLM.2015.06.14	98.78813615579541	0.3462227555083176
LLM.2015.07.12	101.74461319158355	1.4574913272314958
LLM.2015.07.26	98.31959899513983	0.17011091191262884
LLM.2015.08.23	97.61751566139964	-0.09378531798253159
LLM.2015.09.06	102.8238041993211	1.8631332568889336
LLM.2015.10.11	103.25562540615724	2.0254444569935695
LLM.2015.11.08	99.10118575210602	0.4638905653913278
LLM.2015.11.22	98.31840660835302	0.16966272241361285
LLM.2015.12.27	94.53072504389691	-1.2540356291459749
LLM.2016.01.10	93.76851559996928	-1.5405318169580942
LLM.2016.01.24	98.47273758127417	0.22767202124282732
LLM.2016.02.07	98.51439054214724	0.2433283668789143
LLM.2016.02.28	99.44911588524778	0.5946691296878117
LLM.2016.03.13	97.18211729420315	-0.2574410865841832
LLM.2016.03.27	95.06029247846415	-1.0549839742476088
LLM.2016.04.24	98.97325694396501	0.4158052049490784
LLM.2016.05.08	96.51027441912615	-0.5099706557882232
LLM.2016.05.22	96.44860111501299	-0.5331521666694693
LLM.2016.06.05	98.24183731528585	0.1408821677485163
LLM.2016.06.19	98.91313083377756	0.39320524703211435
LLM.2016.07.03	99.79185658363632	0.7234971103415163
LLM.2016.07.19	99.0662694199119	0.4507663563623128
LLM.2016.07.31	102.49754247917525	1.740499327598908
LLM.2016.08.14	94.67877734663536	-1.1983863313456202
LLM.2016.09.04	95.4065166635968	-0.9248466347550256
LLM.2016.09.11	96.95589290174576	-0.34247339174059965
LLM.2016.10.08	97.54091057296954	-0.12257932726315864
LLM.2016.10.17	98.25563459106932	0.14606823169150418
LLM.2016.10.26	100.54265352535405	1.0057036132086634
LLM.2016.11.13	96.8027543156114	-0.40003450107080346
LLM.2016.11.27	97.0400875928594	-0.3108266334509368
LLM.2016.12.01	97.10601656180741	-0.2860455205685528
LLM.2016.12.04	99.41018293885122	0.5800351720377591
LLM.2016.12.11	96.33019435158457	-0.577658419647143
LLM.2016.12.17	97.67058112448258	-0.07383928740147802
LLM.2016.12.25	96.19289840202498	-0.6292646631334166
LLM.2017.01.01	97.55116648375557	-0.11872437720166687
LLM.2017.01.08	95.1319859941555	-1.0280361069651214
LLM.2017.01.15	94.47297082958063	-1.2757440484833613
LLM.2017.02.11	94.39498632822121	-1.3050565458892913
LLM.2017.04.16	100.92988764115827	1.151255598758765
LLM.2017.05.14	97.62718642023745	-0.09015031245700694
LLM.2017.06.25	97.87333748231872	0.0023719482864366223
LLM.2017.12.03	97.59401183141541	-0.10261984206657458
LLM.2018.01.14	97.271291476267	-0.2239226574751094
LLM.2018.01.24	96.6416867140113	-0.46057593650708467
LLM.2018.02.25	96.26348032684339	-0.6027346161102302
LLM.2018.03.10	97.3050154216743	-0.21124663794511045
LLM.2018.03.26	96.37203182194582	-0.5619327213345658
LLM.2018.04.08	96.88048020010243	-0.37081921152222674
LLM.2018.05.27	98.22867019200152	0.13593296296567475
LLM.2018.06.10	101.8822127585624	1.5092116931992803
LLM.2018.07.18	98.25444220428251	0.1456200421924882
LLM.2018.07.29	99.01490990483808	0.4314615505851654
LLM.2018.10.03	103.28147821435209	2.0351619054600927
LLM.2018.12.01	94.66748769829542	-1.2026298384772889
LLM.2019.02.10	96.80676424128026	-0.3985272665085804
LLM.2019.03.18	96.89192849767525	-0.36651607196172437
LLM.2019.04.14	95.62588783609844	-0.8423902900609267
LLM.2019.05.19	97.92878771897524	0.02321435786550614
LLM.2019.07.14	100.09694136911823	0.8381711395029079
LLM.2019.08.11	96.67962048893239	-0.44631754337013735
