feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2013.11.10	-9.02207573993486	-3.1865239260466	-8.46264833132084	NA	-9.94807515849108	-9.81057163474115	-13.2700032533784	-8.51511575121498	-2.03818207472104	-6.89496382203152	-13.2700032533784	-2.94920270449681	NA	NA	-5.06543210912924	-3.63882619767447	NA	-4.56609967993378	-2.47558738702834	-6.87768583059968	NA	NA	-4.6925744253427	-5.56956353523735	-9.27000325337844	-5.57651629587912	-10.9480751584911	-9.46264833132084	-3.7543034150944	NA
LLM.2013.12.14	-8.36369674483899	-2.87184364850932	-6.59816199847602	NA	-7.62673115067279	-7.62673115067279	-9.94865924556015	-7.14130432350254	-2.0477924375794	-6.94865924556015	NA	-3.3788036372292	-9.94865924556015	NA	-3.88257005510238	-7.62673115067279	NA	-3.99446293517327	-2.40950043445212	-6.14130432350254	-9.94865924556015	NA	-5.04176864995163	-5.19377174339668	NA	-5.70073173211656	-7.14130432350254	-8.94865924556015	-4.06601619619831	NA
LLM.2014.01.19	-8.4833679439405	-2.66839983777302	-9.23825544610397	NA	-8.99032793266039	-7.62354560198876	-9.43090052404637	-6.27247116144188	-5.00943675560809	-6.09870409370518	-7.91632735121661	-2.83630932212743	-9.91632735121661	-10.6532929453828	-3.16679308354735	-7.65329294538282	-12.238255446104	-3.31344294249819	-2.81408915728587	-10.238255446104	-10.6532929453828	NA	-4.583619417576	-4.91632735121661	-8.91632735121661	-6.22702819068072	-2.70395256364934	-7.62354560198876	-6.03858310126761	-10.6532929453828
LLM.2014.02.17	-7.73970724431565	-2.21410132800049	NA	NA	-6.44309023795747	-8.8709517775939	-8.80383758173537	-6.60505771762087	-2.8307272999844	-6.35637860476414	-6.92341919748804	-3.28742123236588	-9.9413411054853	NA	-4.09084169172718	-7.90571719575458	-9.35637860476414	-3.54730721011752	-2.4615608414562	-7.97786698151041	-8.35637860476414	NA	-4.79566365028966	-5.71637474048503	-7.26326920037266	-6.30907288998579	-4.31490196878798	-6.45591427831506	-6.33253186280978	-8.61941301059794
LLM.2014.03.23	-7.65266208715007	-2.64990446597108	NA	NA	-7.59494658929378	-9.46001700920767	-10.2673719312653	-7.7755188349356	-2.57824752635202	-5.83274370362855	-13.2673719312653	-3.17065677677674	-9.94544383637791	-13.2673719312653	-3.98660116113467	-6.12782057886648	NA	-4.48273708570775	-2.27372587124868	-5.4218818803209	-10.6824094305441	NA	-4.37255416795733	-4.74773567842206	-7.59494658929378	-6.16933984830475	-4.6453201118089	-8.13808891432031	-5.2958283773145	-13.2673719312653
LLM.2014.05.04	-7.83333140778632	-3.21656887889387	-10.9376680676011	NA	-7.17213332123808	-8.17213332123808	-8.6157399727137	-6.36477839918048	-2.06422395508568	-5.85871672620624	-8.93766806760106	-3.07720180908389	-7.93766806760106	-10.6746336617673	-4.1563083540764	-6.46518029613832	NA	-3.57835775071062	-2.21930644146271	-7.58717082051693	-8.73603420643141	NA	-5.75180152228973	-8.3527055668799	-8.40161516736085	-5.38923144290502	-4.65596981750223	-7.17213332123808	-6.47823644896376	-9.67463366176727
LLM.2014.06.16	-7.02061448685654	-3.14960092757662	-13.2685420003001	NA	-9.80911038166283	-8.80911038166283	-10.2685420003001	-8.18107915904978	-2.60854610787015	-7.56810228215903	-12.2685420003001	-2.87729841087268	NA	-13.2685420003001	-4.00175545960522	-4.37069654429461	NA	-3.47412613395002	-2.91209003007837	-4.57854402888068	-11.2685420003001	-7.59611665832863	-5.27418856344126	-6.71395314862249	-8.51365449813665	-6.03972330980424	-4.33485134534789	-8.02061448685654	-3.67048950013852	NA
LLM.2014.07.24	-7.45928523387324	-2.60219287138288	-13.2666401559308	NA	-7.84037540122875	-8.2222460365724	-9.35974956032233	-6.32412565059161	-5.66672731374372	-6.99985361523595	-9.68167765520969	-2.71109238428378	-9.94471206104349	-9.01871264248726	-4.5421263028109	-4.51175265376738	-11.6816776552097	-3.54725133498877	-2.18183176812649	-6.65193031181564	-10.0967151544885	-6.56620043778976	-4.47222428958074	-6.5251731695297	-7.87432273315209	-6.18982455888002	-3.44646119351566	-6.48528044240619	-4.98586938580025	-10.4592852338732
LLM.2014.08.22	-7.16963030324072	-3.38364903197568	-10.0871681430487	NA	-9.55665342634997	-8.79766152585376	-7.8647757217123	-6.88205371314413	-4.22642600824412	-5.97169092562881	NA	-1.94477739780095	-8.93516504960369	-13.2570931444911	-5.09218621781537	-5.74929850429236	NA	-4.78135971352466	-1.69628267576312	-6.78135971352466	-13.2570931444911	-8.04763977886211	-3.57585473271325	-5.74139330620701	-9.08716814304874	-6.4757334309664	-6.38672842490765	-8.39911214936349	-6.35020254888254	-13.2570931444911
LLM.2014.08.25	-7.89289446552717	-2.31970913258237	-10.2504464701453	NA	-7.75859337381558	-9.25044647014525	-6.72688451408824	-8.34355587453673	-4.86242918480012	-6.43026750773006	-10.9285183752579	-2.88959938596559	-7.60659028037053	NA	-4.83259395525935	-6.34355587453673	-13.2504464701453	-3.48391756154639	-1.98600386991865	-7.34355587453673	-8.6654839694241	-12.2504464701453	-4.33755713391529	-8.55000675200416	-8.0409931045163	-5.72688451408824	-3.32860553307076	-7.02162777964937	-7.08052146870294	-9.16298362889491
LLM.2014.09.28	-7.88045814050733	-2.76498092308739	-12.2727755632861	NA	-10.1028505618438	-8.27277556328609	-9.95084746839872	-7.88045814050733	-2.62982133980575	-7.0248480498425	-13.2727755632861	-2.48977735436567	-9.95084746839872	NA	-5.88045814050733	-3.915223558668	NA	-5.06332219765714	-2.29836097348056	-5.94185868517147	-13.2727755632861	-7.39013251392425	-4.31857925289921	-5.27842212642723	-10.1028505618438	-5.915223558668	-8.10285056184378	-8.68781306256493	-4.25596727559953	-13.2727755632861
LLM.2014.11.16	-7.66344918732203	-3.18408134576533	-11.2781590314372	NA	-10.2781590314372	-9.69319653071608	-10.6931965307161	-7.3955159820754	-2.68850788492245	-7.06870566580829	-8.69319653071608	-2.20468687746078	-9.95623093654988	-11.2781590314372	-5.53669204503609	-2.97437828326014	NA	-5.61994754868544	-2.32541778425075	-6.75459707538023	NA	-8.95623093654988	-4.7624591931532	-6.99275681257499	-9.03023151799365	-5.24473602989979	-8.63430284166251	-9.81872741279994	-4.82694791960491	-9.95623093654988
LLM.2014.12.07	-6.71911276517482	-2.74060218814904	-13.2582715762829	NA	-8.35138098067433	-8.45091665422525	-8.6733090755617	-6.41278152533848	-7.35138098067433	-5.2138774569244	-12.2582715762829	-2.66955694070059	-8.93634348139549	NA	-4.81947972370459	-5.6808427482471	NA	-4.72299619966205	-1.68131491157676	-5.79883995764555	-11.2582715762829	-7.08834657484054	-3.7764721446171	-4.28385698647732	-8.86595415350409	-5.9728693574206	-5.88323214493593	-7.28099165278293	-4.96365082739122	-13.2582715762829
